,comorb_level,rr_config,dataset_type,model,roc_auc,pr_auc,accuracy
0,0.6,geno_10_mt_5,merged,logit,0.6361909047726194,0.6358125483136139,0.5875
1,0.6,geno_10_mt_5,merged,logit,0.6053651341283532,0.5733859296337545,0.5625
2,0.6,geno_10_mt_5,merged,logit,0.6048901222530564,0.5913265614517724,0.575
3,0.6,geno_10_mt_5,merged,logit,0.6022150553763844,0.5981667386138041,0.5925
4,0.6,geno_10_mt_5,merged,logit,0.6281157028925723,0.6101370280958857,0.5925
5,0.6,geno_10_mt_5,merged,logit,0.6182154553863847,0.5667345005425245,0.5775
6,0.6,geno_10_mt_5,merged,logit,0.6134653366334161,0.5847175718892403,0.5775
7,0.6,geno_10_mt_5,merged,logit,0.6462411560289006,0.6493199609874241,0.595
8,0.6,geno_10_mt_5,merged,logit,0.6086652166304157,0.5965497443395504,0.6075
9,0.6,geno_10_mt_5,merged,logit,0.5687142178554464,0.5461396527981903,0.575
10,0.6,geno_10_mt_5,merged,logit,0.6054651366284156,0.6276841273812795,0.5675
11,0.6,geno_10_mt_5,merged,logit,0.607790194754869,0.5938285928405427,0.5675
12,0.6,geno_10_mt_5,merged,logit,0.5846146153653842,0.5803242804252571,0.5625
13,0.6,geno_10_mt_5,merged,logit,0.5909897747443686,0.5597100350089806,0.5475
14,0.6,geno_10_mt_5,merged,logit,0.6057151428785719,0.6272756026585361,0.5675
15,0.6,geno_10_mt_5,merged,logit,0.598439960999025,0.5873189979478161,0.5625
16,0.6,geno_10_mt_5,merged,logit,0.6323158078951974,0.6449540460085863,0.59
17,0.6,geno_10_mt_5,merged,logit,0.640291007275182,0.6302771754200238,0.565
18,0.6,geno_10_mt_5,merged,logit,0.63641591039776,0.6055574510087205,0.5975
19,0.6,geno_10_mt_5,merged,logit,0.6159903997599939,0.5915087003884906,0.6
20,0.6,geno_10_mt_5,merged,logit,0.5657141428535714,0.5757568755446377,0.5425
21,0.6,geno_10_mt_5,merged,logit,0.6441661041526038,0.6149656587414702,0.6175
22,0.6,geno_10_mt_5,merged,logit,0.6186904672616815,0.6372572779471912,0.5925
23,0.6,geno_10_mt_5,merged,logit,0.6389909747743693,0.6369290863593593,0.5825
24,0.6,geno_10_mt_5,merged,logit,0.6600165004125104,0.6255647205564739,0.635
25,0.6,geno_10_mt_5,merged,logit,0.622940573514338,0.6262109146736672,0.5875
26,0.6,geno_10_mt_5,merged,logit,0.6615165379134478,0.6258823624990671,0.6275
27,0.6,geno_10_mt_5,merged,logit,0.6075651891297282,0.5656916077042398,0.6
28,0.6,geno_10_mt_5,merged,logit,0.5926648166204155,0.5885701464631691,0.5525
29,0.6,geno_10_mt_5,merged,logit,0.6175154378859471,0.6048442945099213,0.6075
