AVG	SEARCHED
66.16666666666667	_EPS_0.002_Samp_3
42.708333333333336	_EPS_0.002_Samp_5
32.291666666666664	_EPS_0.002_Samp_7
25.541666666666668	_EPS_0.002_Samp_9
21.375	_EPS_0.002_Samp_11
17.25	_EPS_0.002_Samp_13
15.666666666666666	_EPS_0.002_Samp_15
47.5	_EPS_0.002_Samp_17
42.5	_EPS_0.002_Samp_19
39.75	_EPS_0.002_Samp_21
37.25	_EPS_0.002_Samp_23
34.0	_EPS_0.002_Samp_25
32.0	_EPS_0.002_Samp_27
30.75	_EPS_0.002_Samp_29
29.25	_EPS_0.002_Samp_31
27.5	_EPS_0.002_Samp_33
27.25	_EPS_0.002_Samp_35
26.25	_EPS_0.002_Samp_37
24.75	_EPS_0.002_Samp_39
24.0	_EPS_0.002_Samp_41
23.25	_EPS_0.002_Samp_43
22.25	_EPS_0.002_Samp_45
21.75	_EPS_0.002_Samp_47
21.5	_EPS_0.002_Samp_49
20.75	_EPS_0.002_Samp_51
20.5	_EPS_0.002_Samp_53
19.5	_EPS_0.002_Samp_55
18.5	_EPS_0.002_Samp_57
18.0	_EPS_0.002_Samp_59
17.25	_EPS_0.002_Samp_61
17.0	_EPS_0.002_Samp_63
17.25	_EPS_0.002_Samp_65
16.5	_EPS_0.002_Samp_67
16.5	_EPS_0.002_Samp_69
16.0	_EPS_0.002_Samp_71
16.0	_EPS_0.002_Samp_73
16.0	_EPS_0.002_Samp_75
16.0	_EPS_0.002_Samp_77
15.5	_EPS_0.002_Samp_79
15.0	_EPS_0.002_Samp_81
14.75	_EPS_0.002_Samp_83
14.0	_EPS_0.002_Samp_85
13.25	_EPS_0.002_Samp_87
12.75	_EPS_0.002_Samp_89
12.5	_EPS_0.002_Samp_91
12.5	_EPS_0.002_Samp_93
12.5	_EPS_0.002_Samp_95
12.25	_EPS_0.002_Samp_97
12.0	_EPS_0.002_Samp_99
11.75	_EPS_0.002_Samp_101
11.5	_EPS_0.002_Samp_103
11.0	_EPS_0.002_Samp_105
11.0	_EPS_0.002_Samp_107
11.0	_EPS_0.002_Samp_109
11.0	_EPS_0.002_Samp_111
11.0	_EPS_0.002_Samp_113
10.75	_EPS_0.002_Samp_115
10.25	_EPS_0.002_Samp_117
10.25	_EPS_0.002_Samp_119
10.25	_EPS_0.002_Samp_121
10.25	_EPS_0.002_Samp_123
9.75	_EPS_0.002_Samp_125
9.75	_EPS_0.002_Samp_127
9.25	_EPS_0.002_Samp_129
9.0	_EPS_0.002_Samp_131
9.0	_EPS_0.002_Samp_133
8.75	_EPS_0.002_Samp_135
8.75	_EPS_0.002_Samp_137
8.0	_EPS_0.002_Samp_139
8.0	_EPS_0.002_Samp_141
8.0	_EPS_0.002_Samp_143
8.0	_EPS_0.002_Samp_145
8.0	_EPS_0.002_Samp_147
8.0	_EPS_0.002_Samp_149
8.25	_EPS_0.002_Samp_151
8.0	_EPS_0.002_Samp_153
8.0	_EPS_0.002_Samp_155
8.0	_EPS_0.002_Samp_157
7.5	_EPS_0.002_Samp_159
7.5	_EPS_0.002_Samp_161
57.916666666666664	_EPS_0.004_Samp_3
39.041666666666664	_EPS_0.004_Samp_5
30.75	_EPS_0.004_Samp_7
24.791666666666668	_EPS_0.004_Samp_9
21.666666666666668	_EPS_0.004_Samp_11
17.833333333333332	_EPS_0.004_Samp_13
15.125	_EPS_0.004_Samp_15
43.5	_EPS_0.004_Samp_17
39.25	_EPS_0.004_Samp_19
37.25	_EPS_0.004_Samp_21
35.75	_EPS_0.004_Samp_23
32.5	_EPS_0.004_Samp_25
30.75	_EPS_0.004_Samp_27
30.25	_EPS_0.004_Samp_29
28.75	_EPS_0.004_Samp_31
27.75	_EPS_0.004_Samp_33
26.5	_EPS_0.004_Samp_35
25.25	_EPS_0.004_Samp_37
