A,B,C,D
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.806,-72.255
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
9.0366e+05,1.4455e+12,41.807,-72.253
