Name	Category	Latitude	Longitude	newType
111 W 46th St	New York, NY 10036	40.7579325	-73.9828457	Outdoors & Recreation
Consulate General of the Philippines	Foreign consulate	40.7559365	-73.979346	Professional & Other Places
Consulate General-Philippines	Foreign consulate	45.50317570000001	-73.5692449	Professional & Other Places
Philippine Consulate General in Toronto	Foreign consulate	43.7079583	-79.3936357	Professional & Other Places
Embassy of the Republic of the Philippines in the United States	Embassy	38.907462	-77.03807	Professional & Other Places
Consulate General of the Philippines	Foreign consulate	41.879915600000004	-87.6248083	Professional & Other Places
Merge Creative Media	Video production service	40.756105	-73.9796774	Shop & Service
Jay Suites Temporary Office Space, Modern Office Space and Coworking Space NYC	Executive suite rental agency	40.756105	-73.9796774	Shop & Service
Jay Suites Penn Station - Shared Office Space & Conference Room Rentals NYC	Office space rental agency	40.751827	-73.987239	Shop & Service
Jay Suites Grand Central - Office Space NYC for Rent and Virtual Office Space	Office space rental agency	40.750497700000004	-73.9764954	Shop & Service
Jay Suites 34th Street - NYC Private Office Rentals and Executive Suites	Office space rental agency	40.749682	-73.9867818	Shop & Service
Philippine Department of Tourism - New York	Tourist information center	40.7559351	-73.9793458	Shop & Service
Shea Communications LLC	Public relations firm	40.7560789	-73.9794056	Food
Shieler Trading Corporation	Jewelry designer	40.7561619	-73.9796832	Shop & Service
City West Realty Corp	Real estate agency	40.7560648	-73.979417	Shop & Service
Beach West Realty	Real estate agency	40.585860700000005	-73.6906881	Shop & Service
Rego Realty	Apartment rental agency	41.765687400000004	-72.680087	Shop & Service
Centre Realty Group	Real estate agency	42.336551299999996	-71.1512363	Shop & Service
Insight Realty Group Inc	Real estate agency	42.2938281	-71.1370526	Shop & Service
Metro Realty Corp	Real estate agents	42.3436316	-71.1228708	Outdoors & Recreation
VP Management	Property management company	42.148133	-72.607156	Professional & Other Places
Dennis L Chiulli Realty Corp	Real estate agency	41.1591005	-74.0652012	Shop & Service
Richmond Realty Corp	Real estate agency	40.9303317	-72.6825192	Shop & Service
H&G Realty - NY, Inc.	Real estate agency	40.9426403	-72.9841172	Shop & Service
Boston Metro Realty	Commercial real estate agency	42.34958889999999	-71.0833825	Shop & Service
Lemor Realty Corporation	Property management company	40.821605299999995	-73.9385018	Professional & Other Places
Pyramid Home Realty Corp	Real estate agency	40.5724825	-74.1525086	Shop & Service
247 NYC Realty	Real estate agency	40.786533	-73.9689	Shop & Service
9300 Realty	Real estate agency	40.729797999999995	-73.9926904	Shop & Service
City Express Realty	Real estate agency	40.578383	-73.952944	Shop & Service
SL Green Realty Group	Real estate agency	40.762838	-73.9824648	Shop & Service
Alma Realty Corp.	Real estate agency	40.7545656	-73.9307592	Shop & Service
River 2 River Realty, Inc.	Real estate agency	40.7616154	-73.9995736	Shop & Service
Platinum One Realty Corp	Real estate agency	40.7915865	-74.0136729	Shop & Service
Niletti Creations Ltd.	Jewelry buyer	40.7560595	-73.9793214	Shop & Service
Willow Stone Realty	Commercial real estate agency	40.756194	-73.979602	Shop & Service
Permanent Mission of the Republic of the Philippines to the United Nations	Foreign consulate	40.755973700000006	-73.9794838	Professional & Other Places
MOODCENTER (MOOD DISORDERS CONSULTING PLLC)	Mental health clinic	40.756104	-73.979677	Professional & Other Places
Optical Diamond Setting Inc.	Jewelry designer	40.7561042	-73.9796765	Shop & Service
Azul Fine Jewelry	Jewellery manufacturer	40.7561042	-73.9796765	Shop & Service
Merchant Cash Advance Connecticut - Small Business Loans	Loan agency	41.7591401	-72.6841759	Shop & Service
Long Island Merchant Cash Advance	Finance broker	40.888121000000005	-73.040551	Shop & Service
Merchant Cash Advance	Financial institution	40.756105	-73.9796774	Shop & Service
NY Merchant Cash Advance Network, Inc.	Finance broker	40.6835102	-73.7632879	Shop & Service
New York Merchant Cash Advance	Corporate office	40.7514438	-73.9890841	Professional & Other Places
Merchant Cash Advance	Consultant	40.6606222	-73.703088	Shop & Service
24 Hour Merchant Cash Advance	Consultant	40.686032700000005	-73.9508718	Shop & Service
Small Business Loans Massachusetts - Merchant Cash Advance Boston MA	Loan agency	42.358069	-71.0552308	Shop & Service
MERCHANT CASH ADVANCE	Loan agency	41.9713713	-76.153567	Shop & Service
General Merchant Funding	Financial consultant	41.766701	-72.6753458	Shop & Service
Iruka Capital Group - Merchant Cash Advance New Jersey	Business to business service	40.662623100000005	-74.2338649	Travel & Transport
Small Business Loans Connecticut - Merchant Cash Advance Bridgeport CT	Loan agency	41.1718105	-73.2164326	Shop & Service
Premium Merchant Funding	Financial institution	40.7068657	-74.0097069	Shop & Service
CMCA® Capital Canadian Merchant Cash Advance.	Financial institution	45.499856	-73.573325	Shop & Service
Merchant Cash Advance New York - Unsecured Loans NY	Commercial real estate agency	40.7104617	-74.0077673	Shop & Service
Merchant Advisors	Loan agency	41.3506366	-72.3858171	Shop & Service
Small Business Loans Jersey City NJ - Merchant Cash Advance New Jersey - Invoice Factoring & Unsecured Loans	Loan agency	40.718709600000004	-74.0346529	Shop & Service
Merchant Cash Advance New York - Small Business Loans NY	Loan agency	40.7580629	-73.9788542	Shop & Service
CFG Merchant Solutions	Business center	40.817205	-74.101592	Travel & Transport
Original Funding	Loan agency	40.81003270000001	-73.5149322	Shop & Service
