Name	Category	Latitude	Longitude

111 W 46th St	New York, NY 10036	40.7579325	-73.9828457
Consulate General of the Philippines	Foreign consulate	40.7559365	-73.979346
Consulate General-Philippines	Foreign consulate	45.5031757	-73.5692449
Philippine Consulate General in Toronto	Foreign consulate	43.7079583	-79.3936357
Embassy of the Republic of the Philippines in the United States	Embassy	38.907462	-77.03807
Consulate General of the Philippines	Foreign consulate	41.8799156	-87.6248083
Merge Creative Media	Video production service	40.756105	-73.9796774
Jay Suites Temporary Office Space, Modern Office Space and Coworking Space NYC	Executive suite rental agency	40.756105	-73.9796774
Jay Suites Penn Station - Shared Office Space & Conference Room Rentals NYC	Office space rental agency	40.751827	-73.987239
Jay Suites Grand Central - Office Space NYC for Rent and Virtual Office Space	Office space rental agency	40.7504977	-73.9764954
Jay Suites 34th Street - NYC Private Office Rentals and Executive Suites	Office space rental agency	40.749682	-73.9867818
Philippine Department of Tourism - New York	Tourist information center	40.7559351	-73.9793458
Shea Communications LLC	Public relations firm	40.7560789	-73.9794056
Shieler Trading Corporation	Jewelry designer	40.7561619	-73.9796832
City West Realty Corp	Real estate agency	40.7560648	-73.979417
Beach West Realty	Real estate agency	40.5858607	-73.6906881
Rego Realty	Apartment rental agency	41.7656874	-72.680087
Centre Realty Group	Real estate agency	42.3365513	-71.1512363
Insight Realty Group Inc	Real estate agency	42.2938281	-71.1370526
Metro Realty Corp	Real estate agents	42.3436316	-71.1228708
VP Management	Property management company	42.148133	-72.607156
Dennis L Chiulli Realty Corp	Real estate agency	41.1591005	-74.0652012
Richmond Realty Corp	Real estate agency	40.9303317	-72.6825192
H&G Realty - NY, Inc.	Real estate agency	40.9426403	-72.9841172
Boston Metro Realty	Commercial real estate agency	42.3495889	-71.0833825
Lemor Realty Corporation	Property management company	40.8216053	-73.9385018
Pyramid Home Realty Corp	Real estate agency	40.5724825	-74.1525086
247 NYC Realty	Real estate agency	40.786533	-73.9689
9300 Realty	Real estate agency	40.729798	-73.9926904
City Express Realty	Real estate agency	40.578383	-73.952944
SL Green Realty Group	Real estate agency	40.762838	-73.9824648
Alma Realty Corp.	Real estate agency	40.7545656	-73.9307592
River 2 River Realty, Inc.	Real estate agency	40.7616154	-73.9995736
Platinum One Realty Corp	Real estate agency	40.7915865	-74.0136729
Niletti Creations Ltd.	Jewelry buyer	40.7560595	-73.9793214
Willow Stone Realty	Commercial real estate agency	40.756194	-73.979602
Permanent Mission of the Republic of the Philippines to the United Nations	Foreign consulate	40.7559737	-73.9794838
